hospital,unidad,delta,costo,timestamp,termino
1,OR,1,1092.32,2025-06-19T17:39:56.694903,
1,OR,2,1064.47,2025-06-19T17:46:44.844834,
1,OR,3,1065.5,2025-06-19T17:53:38.206165,cambio marginal
1,ICU,1,1140.53,2025-06-19T18:00:33.772372,
1,ICU,2,1111.29,2025-06-19T18:07:32.101647,
1,ICU,3,1089.54,2025-06-19T18:14:35.087580,
1,ICU,4,1068.05,2025-06-19T18:21:28.950590,
1,ICU,5,1052.04,2025-06-19T18:28:28.421664,
1,ICU,6,1034.91,2025-06-19T18:35:17.646586,
1,ICU,7,1021.34,2025-06-19T18:42:06.618339,
1,ICU,8,1010.41,2025-06-19T18:48:40.564602,
1,ICU,9,994.81,2025-06-19T18:55:09.609587,
1,ICU,10,988.61,2025-06-19T19:01:35.701619,
1,ICU,11,982.03,2025-06-19T19:08:02.913984,
1,ICU,12,975.06,2025-06-19T19:14:41.152608,
1,ICU,13,966.08,2025-06-19T19:21:20.194718,
1,ICU,14,962.49,2025-06-19T19:27:59.482844,
1,ICU,15,954.28,2025-06-19T19:34:48.036340,
1,ICU,16,952.35,2025-06-19T19:41:32.074712,delta > 15
1,SDU/WARD,1,1156.88,2025-06-19T19:48:03.791038,
1,SDU/WARD,2,1142.06,2025-06-19T19:54:36.425081,
1,SDU/WARD,3,1124.68,2025-06-19T20:01:14.088392,
1,SDU/WARD,4,1110.0,2025-06-19T20:07:47.483353,
1,SDU/WARD,5,1097.52,2025-06-19T20:14:14.920080,
1,SDU/WARD,6,1085.69,2025-06-19T20:20:47.950125,
1,SDU/WARD,7,1076.23,2025-06-19T20:27:31.760290,
1,SDU/WARD,8,1067.29,2025-06-19T20:34:39.988437,
1,SDU/WARD,9,1057.08,2025-06-19T20:41:55.648072,
1,SDU/WARD,10,1047.82,2025-06-19T20:49:21.892816,
1,SDU/WARD,11,1040.11,2025-06-19T20:56:35.844695,
1,SDU/WARD,12,1030.36,2025-06-19T21:03:40.194408,
1,SDU/WARD,13,1025.24,2025-06-19T21:10:56.123979,
1,SDU/WARD,14,1017.62,2025-06-19T21:18:18.860958,
1,SDU/WARD,15,1013.88,2025-06-19T21:25:14.982616,
1,SDU/WARD,16,1009.75,2025-06-19T21:32:29.737388,delta > 15
2,OR,1,1083.83,2025-06-19T21:39:37.433890,
2,OR,2,1049.31,2025-06-19T21:47:02.525055,
2,OR,3,1047.18,2025-06-19T21:54:11.670774,
2,OR,4,1068.24,2025-06-19T22:00:54.356086,cambio marginal
2,ICU,1,1141.88,2025-06-19T22:07:41.495422,
2,ICU,2,1119.0,2025-06-19T22:14:25.918173,
2,ICU,3,1089.66,2025-06-19T22:21:35.786895,
2,ICU,4,1075.32,2025-06-19T22:28:18.891143,
2,ICU,5,1053.63,2025-06-19T22:37:24.178128,
2,ICU,6,1037.26,2025-06-19T22:47:29.003223,
2,ICU,7,1024.69,2025-06-19T22:59:29.965154,
2,ICU,8,1011.96,2025-06-19T23:07:05.200349,
2,ICU,9,1001.56,2025-06-19T23:15:41.754926,
